Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R31,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,76.14,-78.1,180,top
R32,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,138.64,-78.3,180,top
R33,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,93.04,-76.1,180,top
R34,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,106.44,-76.1,180,top
R35,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,120.54,-76.1,180,top
R36,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.44,-76.1,180,top
R55,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,147.2625,-139.2,180,top
R56,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,117.5,-137.625,90,top
R57,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,116.25,-98.5,180,top
R58,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,87.85,-126.425,180,top
R59,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,87.85,-128.825,180,top
R60,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,146.94,-76.2,180,top
R61,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,89.44,-78.1,180,top
R62,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.54,-78.1,180,top
R63,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,117.44,-78.3,180,top
R64,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.25,-78.1,180,top
R65,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,144.25,-78.3,180,top
RN42,RN42XVP-I_RM-eec,Microchip_Technology-RN42XVP-I_RM-MFG,93.775,-124.375,-90,top
RN42_Debug1,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,109.425,-111.775,0,top
Reminder1,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,148,-153.25,0,top
SBDBT1,SBDBT5V-SBDBT5V-2020Main-Main_2021-rescue,SBDBT5V,123.15,-114.625,0,top
SBDBT_Debug1,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,109.525,-119.515,0,top
ST0,SN74HC14PWR,SOP65P640X120-14N,69,-139,90,top
ST1,SN74HC14PWR,SOP65P640X120-14N,69,-125.5,90,top
ST2,SN74HC14PWR,SOP65P640X120-14N,69,-112.5,90,top
SW1,SW_Push_DPDT,SW_E-Switch_EG2219_DPDT_Angled,123.7925,-152.375,0,top
SW2,SW_MEC_5G,SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,147.2875,-143.725,-90,top
